hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -0.0999997, 1.38685E-007, -0.0999999, 2.38853E-007, -0.1, -6.0344E-009
2, 0.00000, -0.100002, -1.62757E-006, -0.100002, -2.18222E-006, -0.100001, -1.29658E-006
3, 0.00000, -0.1, -5.14556E-007, -0.1, -6.77712E-007, -0.1, -4.17212E-007
4, 0.00000, -0.1, -2.57211E-007, -0.1, -3.36075E-007, -0.1, -2.10753E-007
5, 0.00000, -0.0999987, 1.19127E-006, -0.0999988, 1.62198E-006, -0.0999995, 9.4212E-007
6, 0.00000, -0.0999956, 2.52348E-006, -0.0999962, 3.73553E-006, -0.0999981, 1.81949E-006
7, 0.00000, 1.91185, -9.54748E-006, 1.91186, -1.74457E-006, 1.91185, -4.62892E-006
8, 0.00000, 3.92939, 5.47024E-005, 3.92945, 8.64422E-005, 3.92938, 8.29969E-005
9, 0.00000, 5.70953, 2.85232E-005, 5.70961, 7.93461E-006, 5.70962, 5.30228E-005
10, 0.00000, 9.40595, 3.02671E-005, 9.40595, 2.08739E-005, 9.40594, 1.9579E-005
11, 0.00000, 14.8423, 0.000196112, 14.8424, 0.000124244, 14.8423, 0.000120939
12, 0.00000, 16.3619, 7.80833E-005, 16.362, 4.80798E-005, 16.3619, 4.95122E-005
13, 0.00000, 17.3891, 0.000246682, 17.3894, -1.3463E-005, 17.3896, 0.000331836
14, 0.00000, 17.3896, -0.000342266, 17.39, -0.000304619, 17.3898, -3.52507E-005
15, 0.00000, 17.6204, -9.62401E-005, 17.6206, -0.00014078, 17.6206, 6.48948E-005
16, 0.00000, 17.1033, -2.91441E-005, 17.103, 8.8446E-005, 17.103, -0.000158866
17, 0.00000, 13.5306, -0.000104202, 13.5306, -6.51279E-005, 13.5306, -7.01191E-005
18, 0.00000, 7.81954, -2.25211E-005, 7.81955, -1.96422E-005, 7.81956, -1.33874E-005
19, 0.00000, 10.0119, 2.80533E-005, 10.0121, -1.43076E-005, 10.0117, -1.46681E-005
20, 0.00000, 8.99977, -0.000168377, 8.99937, -0.000207863, 8.99942, -6.442E-005
21, 0.00000, 9.39962, -5.76061E-005, 9.39964, -4.4412E-005, 9.39976, -3.89311E-005
22, 0.00000, 10.0002, 0.000167148, 10.0007, 0.000188435, 10.0006, 7.33969E-005
23, 0.00000, -0.0999994, 2.35622E-007, -0.0999999, 5.34567E-007, -0.1, -3.0942E-007
24, 0.00000, -0.100006, -6.37023E-006, -0.100006, -8.43539E-006, -0.100002, -5.1574E-006
25, 0.00000, -0.100002, -3.1904E-006, -0.100002, -4.08397E-006, -0.100001, -2.66059E-006
26, 0.00000, -0.100002, -3.02967E-006, -0.100002, -3.76633E-006, -0.1, -2.60848E-006
27, 0.00000, -10.0002, -1.96176E-006, -9.99989, -3.49293E-006, -9.99989, 3.03182E-006
28, 0.00000, -10.0002, -3.20374E-006, -10.0001, -4.71749E-006, -10, -1.65416E-006
29, 0.00000, -9.99908, 1.61146E-005, -9.9993, 2.42383E-005, -9.99975, 8.37306E-006
30, 0.00000, -9.99987, 2.53048E-006, -10, 2.32339E-006, -9.99999, -5.70721E-007
31, 0.00000, 1.91212, 2.17317E-006, 1.91221, -4.25952E-007, 1.91194, -4.4302E-007
32, 0.00000, 3.92941, 8.07532E-006, 3.92952, 1.50405E-005, 3.92941, 3.37362E-005
33, 0.00000, 5.7095, -2.04023E-006, 5.70961, -2.48264E-005, 5.70962, 2.63465E-005
34, 0.00000, 9.40595, 2.62119E-005, 9.40595, 1.60982E-005, 9.40594, 1.39612E-005
35, 0.00000, 14.8424, 0.000179134, 14.8424, 0.000105229, 14.8423, 9.80739E-005
36, 0.00000, 16.362, 7.20226E-005, 16.362, 4.12157E-005, 16.3619, 4.12945E-005
37, 0.00000, 17.389, 0.000176578, 17.3894, -7.54747E-005, 17.3896, 0.000275508
38, 0.00000, 17.3896, -0.000325466, 17.39, -0.000301261, 17.3898, -3.97722E-005
39, 0.00000, 17.6203, -0.000104876, 17.6206, -0.000153537, 17.6206, 4.94643E-005
40, 0.00000, 17.1034, 1.25646E-006, 17.103, 0.00011901, 17.103, -0.000128701
41, 0.00000, 13.5306, -9.47503E-005, 13.5306, -5.38305E-005, 13.5306, -5.67615E-005
42, 0.00000, 7.81954, -1.86549E-005, 7.81954, -1.45085E-005, 7.81956, -8.70207E-006
43, 0.00000, 10.0138, -0.000543343, 10.01, -0.000759822, 10.0102, -6.28371E-005
44, 0.00000, 8.99975, -0.000168091, 8.99938, -0.000205151, 8.99943, -6.71073E-005
45, 0.00000, 9.39962, -5.76058E-005, 9.39964, -4.44279E-005, 9.39976, -3.89156E-005
46, 0.00000, 10.0002, 0.000167148, 10.0007, 0.000188435, 10.0006, 7.33968E-005
47, 0.00000, -0.0999994, 2.35622E-007, -0.0999999, 5.34567E-007, -0.1, -3.0942E-007
48, 0.00000, -0.100006, -6.37023E-006, -0.100006, -8.43539E-006, -0.100002, -5.1574E-006
